subid, subage, gender, group, code, targ, resp, unknown, trial, block, Acc, RT, ts_RT, diff,
102,25, F, adult,1,1,32,132,114,2,1,507.77,504.84,2.92, 
102,25, F, adult,2,3,32,132,115,2,0,322.14,315.28,6.86, 
102,25, F, adult,1,5,32,132,116,2,1,492.03,488.01,4.02, 
102,25, F, adult,1,6,32,132,117,2,1,394.07,387,7.08, 
102,25, F, adult,1,8,32,132,118,2,1,495.6,492.84,2.76, 
102,25, F, adult,1,6,32,132,119,2,1,819.64,815.48,4.16, 
102,25, F, adult,1,4,32,132,120,2,1,767.58,764.74,2.84, 
102,25, F, adult,3,111,100,132,121,2,999,8713.6,8710.84,2.76, 
102,25, F, adult,1,2,32,132,122,2,1,627.37,623.34,4.03, 
102,25, F, adult,1,5,32,132,123,2,1,367.39,363.2,4.19, 
102,25, F, adult,1,6,32,132,124,2,1,448.8,439.5,9.3, 
102,25, F, adult,2,3,0,132,125,2,1,0,0,0, 
102,25, F, adult,1,2,32,132,126,2,1,264.16,257.15,7.01, 
102,25, F, adult,1,4,32,132,127,2,1,676.58,672.63,3.96, 
102,25, F, adult,1,5,32,132,128,2,1,444.84,441.68,3.16, 
102,25, F, adult,1,8,32,132,129,2,1,402.33,398.13,4.21, 
102,25, F, adult,2,3,32,132,130,2,0,397.44,394.53,2.9, 
102,25, F, adult,1,2,32,132,131,2,1,438.99,429.51,9.48, 
103,12, F, ea,1,2,32,132,1,1,1,1158.74,1154.88,3.87, 
103,12, F, ea,1,8,32,132,2,1,1,416.31,412.67,3.64, 
103,12, F, ea,1,7,32,132,3,1,1,392.51,388.82,3.69, 
103,12, F, ea,1,2,32,132,4,1,1,380.25,376.85,3.4, 
103,12, F, ea,1,7,32,132,5,1,1,386.97,383.5,3.48, 
103,12, F, ea,1,6,32,132,6,1,1,396.65,393.06,3.59, 
103,12, F, ea,1,9,32,132,7,1,1,373.75,370.08,3.67, 
103,12, F, ea,2,3,32,132,8,1,0,332.79,329.03,3.75, 
103,12, F, ea,1,4,32,132,9,1,1,8.97,0.66,8.31, 
103,12, F, ea,1,1,32,132,10,1,1,748.87,744.4,4.47, 
103,12, F, ea,1,8,32,132,11,1,1,557.57,554.04,3.53, 
103,12, F, ea,1,9,32,132,12,1,1,366.58,363.05,3.54, 
103,12, F, ea,1,2,32,132,13,1,1,392.68,389.14,3.54, 
103,12, F, ea,1,2,32,132,14,1,1,536.76,532.79,3.97, 
103,12, F, ea,1,6,32,132,15,1,1,481.87,477.74,4.14, 
103,12, F, ea,1,6,32,132,16,1,1,391.12,387.69,3.43, 
103,12, F, ea,1,7,32,132,17,1,1,431.27,427.65,3.62, 
103,12, F, ea,1,9,32,132,18,1,1,358.48,354.86,3.63, 
103,12, F, ea,1,1,32,132,19,1,1,543.26,539.6,3.66, 
103,12, F, ea,1,6,32,132,20,1,1,435.32,431.53,3.8, 
103,12, F, ea,3,111,97,132,21,1,999,5574.28,5570.75,3.54, 
103,12, F, ea,1,8,32,132,22,1,1,555.81,552.43,3.37, 
103,12, F, ea,1,2,32,132,23,1,1,432.38,428.57,3.81, 
103,12, F, ea,2,3,32,132,24,1,0,510.21,506.74,3.48, 
103,12, F, ea,1,2,32,132,25,1,1,8.96,0.69,8.27, 
103,12, F, ea,1,4,32,132,26,1,1,536.46,527.24,9.22, 
103,12, F, ea,1,4,32,132,27,1,1,457.78,454.22,3.57, 
103,12, F, ea,1,2,32,132,28,1,1,535.36,531.49,3.87, 
103,12, F, ea,1,7,32,132,29,1,1,443.8,440.25,3.56, 
103,12, F, ea,1,4,32,132,30,1,1,470.6,467.06,3.54, 
103,12, F, ea,2,3,0,132,31,1,1,0,0,0, 
103,12, F, ea,1,5,32,132,32,1,1,362.7,359.06,3.65, 
103,12, F, ea,1,7,32,132,33,1,1,338.53,334.91,3.62, 
103,12, F, ea,1,8,32,132,34,1,1,379.19,375.61,3.58, 
103,12, F, ea,3,111,97,132,35,1,999,1580.74,1577.05,3.69, 
103,12, F, ea,1,7,32,132,36,1,1,449.43,445.74,3.69, 
103,12, F, ea,1,9,32,132,37,1,1,459.11,455.69,3.42, 
103,12, F, ea,2,3,32,132,38,1,0,396.13,392.57,3.56, 
103,12, F, ea,1,2,32,132,39,1,1,317.83,313.88,3.95, 
103,12, F, ea,1,6,32,132,40,1,1,302.46,298.93,3.53, 
103,12, F, ea,1,5,32,132,41,1,1,305.78,302.45,3.33, 
103,12, F, ea,2,3,32,132,42,1,0,312.05,308.61,3.43, 
103,12, F, ea,1,4,32,132,43,1,1,5.83,0.52,5.32, 
103,12, F, ea,1,9,32,132,44,1,1,460.21,456.63,3.58, 
103,12, F, ea,1,1,32,132,45,1,1,343.85,340.4,3.44, 
103,12, F, ea,2,3,0,132,46,1,1,0,0,0, 
103,12, F, ea,1,1,32,132,47,1,1,377.68,374.23,3.45, 
103,12, F, ea,1,8,32,132,48,1,1,361.93,358.36,3.57, 
103,12, F, ea,1,8,32,132,49,1,1,371.49,367.82,3.67, 
103,12, F, ea,2,3,0,132,50,1,1,0,0,0, 
103,12, F, ea,1,1,32,132,51,1,1,565.74,562.26,3.48, 
103,12, F, ea,1,7,32,132,52,1,1,545.18,541.66,3.52, 
103,12, F, ea,1,4,32,132,53,1,1,810.92,807.6,3.32, 
103,12, F, ea,1,6,32,132,54,1,1,676.43,672.97,3.46, 
103,12, F, ea,1,5,32,132,55,1,1,628.66,624.43,4.23, 
103,12, F, ea,1,5,32,132,56,1,1,956.29,952.6,3.69, 
103,12, F, ea,1,4,32,132,57,1,1,918.75,914.81,3.95, 
103,12, F, ea,2,3,0,132,58,1,1,0,0,0, 
103,12, F, ea,1,4,32,132,59,1,1,513.38,509.9,3.48, 
103,12, F, ea,1,7,32,132,60,1,1,642.93,639.28,3.65, 
103,12, F, ea,1,5,32,132,61,1,1,329.91,326.4,3.5, 
103,12, F, ea,1,1,32,132,62,1,1,374.53,371.06,3.47, 
103,12, F, ea,1,6,32,132,63,1,1,535.16,531.39,3.78, 
103,12, F, ea,1,6,32,132,64,1,1,682.26,678.87,3.39, 
103,12, F, ea,2,3,32,132,65,1,0,643.4,639.84,3.56, 
103,12, F, ea,1,6,32,132,66,1,1,676.67,673.25,3.42, 
103,12, F, ea,1,9,32,132,67,1,1,709.16,705.54,3.62, 
103,12, F, ea,1,8,32,132,68,1,1,582.17,578.59,3.58, 
103,12, F, ea,1,7,32,132,69,1,1,642.06,638.44,3.62, 
103,12, F, ea,1,2,32,132,70,1,1,1105.54,1102.1,3.45, 
103,12, F, ea,1,5,32,132,71,1,1,779.21,775.68,3.54, 
103,12, F, ea,1,5,32,132,72,1,1,515.78,512.21,3.57, 
